arrest_key,arrest_date,pd_cd,ky_cd,ofns_desc,law_cat_cd,arrest_boro,arrest_precinct,age_group,perp_sex,perp_race,longitude,latitude
238496461,01/01/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,K,60,25-44,M,BLACK,-73.989518,40.578836
238496462,01/01/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,K,68,25-44,M,WHITE,-74.030288,40.62535
238496463,01/01/2022,259,351,CRIMINAL MISCHIEF & RELATED OF,M,M,6,18-24,M,BLACK,-74.000155,40.727855
238496464,01/01/2022,175,233,SEX CRIMES,M,M,19,45-64,M,WHITE,-73.9639223035387,40.7669956423899
238496466,01/01/2022,244,107,BURGLARY,F,M,23,25-44,F,WHITE,-73.951265,40.792642
238496467,01/01/2022,244,107,BURGLARY,F,Q,105,45-64,M,WHITE,-73.731344,40.716849
238496468,01/01/2022,905,347,INTOXICATED & IMPAIRED DRIVING,M,Q,104,25-44,M,WHITE,-73.872105,40.70265
238496469,01/01/2022,681,233,SEX CRIMES,M,Q,102,25-44,M,WHITE HISPANIC,-73.831570887672,40.69932415739
238496470,01/01/2022,969,881,OTHER TRAFFIC INFRACTION,M,Q,114,18-24,M,BLACK,-73.93246189,40.7677143
238496471,01/01/2022,782,236,DANGEROUS WEAPONS,M,Q,105,25-44,M,BLACK,-73.7348645378882,40.7265293769835
238496472,01/01/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,Q,112,45-64,M,WHITE HISPANIC,-73.863965,40.729707
238497703,01/01/2022,792,118,DANGEROUS WEAPONS,F,B,42,25-44,M,WHITE HISPANIC,-73.911697780277,40.8222710411331
238497704,01/01/2022,792,118,DANGEROUS WEAPONS,F,B,42,18-24,M,WHITE HISPANIC,-73.90492112,40.82528754
